,module,unit,topic_name,content
128,Develop natural language solutions in Azure - Training,Develop an Azure AI Voice Live agent,Explore the AI Voice Live client library for Python,"# Explore the AI Voice Live client library for Python

Completed 100 XP

  * 5 minutes

The Azure AI Voice Live client library for Python provides a real-time,
speech-to-speech client for Azure AI Voice Live API. It opens a WebSocket
session to stream microphone audio to the service and receives server events
for responsive conversations.

Important

As of version 1.0.0, this SDK is async-only. The synchronous API is deprecated
to focus exclusively on async patterns. All examples and samples use
async/await syntax.

In this unit, you learn how to use the SDK to implement authentication and
handle events. You also see a minimal example of creating a session. For a
full reference to the Voice Live package, visit the [voice live Package
reference](/en-us/python/api/azure-ai-voicelive/azure.ai.voicelive?view=azure-
python).

## Implement authentication

You can implement authentication with an API key or a Microsoft Entra ID
token. The following code sample shows an API key implementation. It assumes
environment variables are set in a `.env` file, or directly in your
environment.

Python Copy

    
    
    import asyncio
    from azure.core.credentials import AzureKeyCredential
    from azure.ai.voicelive import connect
    
    async def main():
        async with connect(
            endpoint=""your-endpoint"",
            credential=AzureKeyCredential(""your-api-key""),
            model=""gpt-4o""
        ) as connection:
            # Your async code here
            pass
    
    asyncio.run(main())
    

For production applications, Microsoft Entra authentication is recommended.
The following code sample shows implementing the `DefaultAzureCredential` for
authentication:

Python Copy

    
    
    import asyncio
    from azure.identity.aio import DefaultAzureCredential
    from azure.ai.voicelive import connect
    
    async def main():
        credential = DefaultAzureCredential()
        
        async with connect(
            endpoint=""your-endpoint"",
            credential=credential,
            model=""gpt-4o""
        ) as connection:
            # Your async code here
            pass
    
    asyncio.run(main())
    

## Handling events

Proper handling of events ensures a more seamless interaction between the
client and agent. For example, when handling a user interrupting the voice
agent you need to cancel agent audio playback immediately in the client. If
you don't, the client continues to play the last agent response until the
interrupt is processed in the API - resulting in the agent ""talking over"" the
user.

The following code sample shows some basic event handling:

Python Copy

    
    
    async for event in connection:
        if event.type == ServerEventType.SESSION_UPDATED:
            print(f""Session ready: {event.session.id}"")
            # Start audio capture
            
        elif event.type == ServerEventType.INPUT_AUDIO_BUFFER_SPEECH_STARTED:
            print(""User started speaking"")
            # Stop playback and cancel any current response
            
        elif event.type == ServerEventType.RESPONSE_AUDIO_DELTA:
            # Play the audio chunk
            audio_bytes = event.delta
            
        elif event.type == ServerEventType.ERROR:
            print(f""Error: {event.error.message}"")
    

## Minimal example

The following code sample shows authenticating to the API and configuring the
session.

Python Copy

    
    
    import asyncio
    from azure.core.credentials import AzureKeyCredential
    from azure.ai.voicelive.aio import connect
    from azure.ai.voicelive.models import (
        RequestSession, Modality, InputAudioFormat, OutputAudioFormat, ServerVad, ServerEventType
    )
    
    API_KEY = ""your-api-key""
    ENDPOINT = ""your-endpoint""
    MODEL = ""gpt-4o""
    
    async def main():
        async with connect(
            endpoint=ENDPOINT,
            credential=AzureKeyCredential(API_KEY),
            model=MODEL,
        ) as conn:
            session = RequestSession(
                modalities=[Modality.TEXT, Modality.AUDIO],
                instructions=""You are a helpful assistant."",
                input_audio_format=InputAudioFormat.PCM16,
                output_audio_format=OutputAudioFormat.PCM16,
                turn_detection=ServerVad(
                    threshold=0.5, 
                    prefix_padding_ms=300, 
                    silence_duration_ms=500
                ),
            )
            await conn.session.update(session=session)
    
            # Process events
            async for evt in conn:
                print(f""Event: {evt.type}"")
                if evt.type == ServerEventType.RESPONSE_DONE:
                    break
    
    asyncio.run(main())
    

* * *"
129,Develop natural language solutions in Azure - Training,Develop an Azure AI Voice Live agent,Exercise - Develop an Azure AI Voice Live agent,"# Exercise - Develop an Azure AI Voice Live agent

Completed 100 XP

  * 30 minutes

In this exercise, you complete a Flask-based Python web app based that enables
real-time voice interactions with an agent. You add the code to initialize the
session, and handle session events. You use a deployment script that: deploys
the AI model; creates an image of the app in Azure Container Registry (ACR)
using ACR tasks; and then creates an Azure App Service instance that pulls the
image. To test the app, you need an audio device with microphone and speaker
capabilities.

While this exercise is based on Python, you can develop similar applications
other language-specific SDKs; including:

  * [Azure VoiceLive client library for .NET](https://www.nuget.org/packages/Azure.AI.VoiceLive/)

Tasks performed in this exercise:

  * Download the base files for the app
  * Add code to complete the web app
  * Review the overall code base
  * Update and run the deployment script
  * View and test the application

This exercise takes approximately **30** minutes to complete.

## Before you start

To complete the exercise, you need:

  * An Azure subscription. If you don't already have one, you can sign up for one <https://azure.microsoft.com/>.
  * An audio device with microphone and speaker capabilities.

## Get started

Select the **Launch Exercise** button to open the exercise instructions in a
new browser window. When you're finished with the exercise, return here to:

  * Complete the module
  * Earn a badge for completing this module

  
[ ![Button to launch exercise.](../../wwl-data-ai/develop-voice-live-
agent/media/launch-exercise.png)
](https://go.microsoft.com/fwlink/?linkid=2338402)

* * *"
130,Develop natural language solutions in Azure - Training,Develop an Azure AI Voice Live agent,Module assessment,"# Module assessment

Completed 200 XP

  * 5 minutes

1.

What are the two authentication methods supported by the Voice Live API?

OAuth 2.0 and JWT (JSON Web Tokens)

Basic authentication and API keys

Microsoft Entra (keyless) and API key

2.

Which scope is required when generating a token for Microsoft Entra
authentication?

`https://cognitiveservices.azure.com/.default`

`https://management.azure.com/.default`

`https://graph.microsoft.com/.default`

3.

Which protocol is used for avatar streaming integration in Voice Live API?

HTTP/2

WebRTC

gRPC

4.

Which event should be handled to stop audio playback when a user interrupts
the voice agent?

`ServerEventType.RESPONSE_AUDIO_DELTA`

`ServerEventType.INPUT_AUDIO_BUFFER_SPEECH_STARTED`

`ServerEventType.SESSION_UPDATED`

5.

What is the recommended authentication method for production applications
using the SDK?

API key authentication

Microsoft Entra authentication with DefaultAzureCredential

Basic username/password authentication

Submit answers

You must answer all questions before checking your work.

You must answer all questions before checking your work.

* * *"
131,Develop natural language solutions in Azure - Training,Develop an Azure AI Voice Live agent,Summary,Couldn't extract content for url: https://learn.microsoft.com/en-us/training/modules/develop-voice-live-agent/6-summary
132,Develop computer vision solutions in Azure - Training,Analyze images,Introduction,"# Introduction

Completed 100 XP

  * 3 minutes

Computer Vision is a branch of artificial intelligence (AI) in which software
interprets visual input, often from images or video feeds. In Microsoft Azure,
you can use the **Azure AI Vision** service to implement multiple computer
vision scenarios, including:

  * Image analysis
  * Optical character recognition (OCR)
  * Face detection and analysis
  * Video analysis

In this module, we'll focus on _image analysis_ , and explore how to build
applications that use the Azure AI Vision service to analyze and extract and
infer insights from images.

![Diagram of the Azure AI Vision service performing image analysis
tasks.](../../wwl-data-ai/analyze-images/media/computer-vision.png)

As shown in this conceptual diagram, the Azure AI Vision service provides
services that you can use to analyze images and:

  1. Generate a _caption_ for an image based on its contents.
  2. Suggest appropriate _tags_ to associate with an image.
  3. Detect and locate common _objects_ in an image.
  4. Detect and locate _people_ in an image.

* * *"
133,Develop computer vision solutions in Azure - Training,Analyze images,Provision an Azure AI Vision resource,"# Provision an Azure AI Vision resource

Completed 100 XP

  * 3 minutes

To use Azure AI Vision image analysis services, you need to provision an Azure
AI Vision resource in your Azure subscription. You can choose from multiple
provisioning options:

![Diagram of AI Foundry containing AI services, which in turn contain AI
Vision.](../../wwl-data-ai/analyze-images/media/ai-vision-resources.png)

  1. Create an **Azure AI Foundry** _project_ and an associated _hub_. By default, an Azure AI Foundry hub includes an **Azure AI services** multi-service resource, which includes Azure AI Vision. Azure AI Foundry projects are recommended for development of AI solutions on Azure that combine generative AI, agents, and pre-built Azure AI services, or which involve collaborative development by a team of software engineers and service operators.
  2. If you don't need all of the functionality in an Azure AI Foundry hub, you can create an **Azure AI services** multi-service resource in your Azure subscription. You can then use this resource to access Azure AI Vision services and other AI services through a single endpoint and key.
  3. If you only need to use Azure AI Vision functionality, or you're just experimenting with the service, you can create a standalone **Computer Vision** resource in your Azure subscription. One benefit of this approach is that the standalone service provides a free tier that you can use to explore the service at no cost.

Tip

If you're unfamiliar with Azure AI Foundry and Azure AI services, consider
completing the **[Plan and prepare to develop AI solutions on Azure](/en-
us/training/modules/prepare-azure-ai-development/)** module.

## Connecting to your resource

After you've deployed your resource, you can use the [Azure AI Vision REST
API](https://learn.microsoft.com/en-us/rest/api/computervision/image-analysis)
or a language-specific SDK (such as the [Python
SDK](https://learn.microsoft.com/en-us/python/api/overview/azure/ai-vision-
imageanalysis-readme) or [Microsoft .NET SDK](https://learn.microsoft.com/en-
us/dotnet/api/overview/azure/ai.vision.imageanalysis-readme)) to connect to it
from a client application.

Every Azure AI Vision resource provides an _endpoint_ to which client
applications must connect. You can find the endpoint for your resource in the
Azure portal, or if you're working in an Azure AI Foundry project, in the
Azure AI Foundry portal. The endpoint is in the form of a URL, and typically
looks something like this:

Copy

    
    
    https://<resource_name>.cognitiveservices.azure.com/
    

To connect to the endpoint, client applications must be authenticated. Options
for authentication include:

  * **Key-based authentication** : Client applications are authenticated by passing an authorization key (which you can find and manage in the portal).
  * **Microsoft Entra ID authentication** : Client applications are authenticated by using a Microsoft Entra ID token for credentials that have permission to access the Azure AI Vision resource in Azure.

When developing and testing an application, it's common to use key-based
authentication or Microsoft Entra ID authentication based on your own Azure
credentials. In production, consider using Microsoft Entra ID authentication
based on a managed identity for your Azure application or use Azure Key Vault
to store authorization keys securely.

Note

When using an Azure AI services resource in an Azure AI Foundry project, you
can use the Azure AI Foundry SDK to connect to the project using Microsoft
Entra ID authentication, and then retrieve the connection information for your
Azure AI services resource, including the authorization key, from the project.

* * *"
134,Develop computer vision solutions in Azure - Training,Analyze images,Analyze an image,"# Analyze an image

Completed 100 XP

  * 3 minutes

Choose your development language

C# Python

After connecting to your Azure AI Vision resource endpoint, your client
application can use the service to perform image analysis tasks.

Note the following requirements for image analysis:

  * The image must be presented in JPEG, PNG, GIF, or BMP format.
  * The file size of the image must be less than 4 megabytes (MB).
  * The dimensions of the image must be greater than 50 x 50 pixels.

## Submitting an image for analysis

To analyze an image, you can use the **[Analyze
Image](https://learn.microsoft.com/en-us/rest/api/computervision/image-
analysis/analyze-image)** REST method or the equivalent method in the SDK for
your preferred programming language, specifying the visual features you want
to include in the analysis.

Python Copy

    
    
    from azure.ai.vision.imageanalysis import ImageAnalysisClient
    from azure.ai.vision.imageanalysis.models import VisualFeatures
    from azure.core.credentials import AzureKeyCredential
    
    client = ImageAnalysisClient(
        endpoint=""<YOUR_RESOURCE_ENDPOINT>"",
        credential=AzureKeyCredential(""<YOUR_AUTHORIZATION_KEY>"")
    )
    
    result = client.analyze(
        image_data=<IMAGE_DATA_BYTES>, # Binary data from your image file
        visual_features=[VisualFeatures.CAPTION, VisualFeatures.TAGS],
        gender_neutral_caption=True,
    )
    

Note

In this code example, the client app uses key-based authentication. To use
Microsoft Entra ID authentication, you can use a **TokenCredential** instead
of an **AzureKeyCredential**.

The code example submits the image data as a binary object (which would
typically be read from an image file). You can also analyze an image based on
a URL by using the **analyze_from_url** method.

Available visual features are contained in the `VisualFeatures` enumeration:

  * VisualFeatures.TAGS: Identifies tags about the image, including objects, scenery, setting, and actions
  * VisualFeatures.OBJECTS: Returns the bounding box for each detected object
  * VisualFeatures.CAPTION: Generates a caption of the image in natural language
  * VisualFeatures.DENSE_CAPTIONS: Generates more detailed captions for the objects detected
  * VisualFeatures.PEOPLE: Returns the bounding box for detected people
  * VisualFeatures.SMART_CROPS: Returns the bounding box of the specified aspect ratio for the area of interest
  * VisualFeatures.READ: Extracts readable text

C# Copy

    
    
    using Azure.AI.Vision.ImageAnalysis;
    
    ImageAnalysisClient client = new ImageAnalysisClient(
        ""<YOUR_RESOURCE_ENDPOINT>"",
        new AzureKeyCredential(""<YOUR_AUTHORIZATION_KEY>""));
    
    ImageAnalysisResult result = client.Analyze(
        <IMAGE_DATA_BYTES>, // Binary data from your image file
        VisualFeatures.Caption | VisualFeatures.Tags,
        new ImageAnalysisOptions { GenderNeutralCaption = true });
    

Note

In this code example, the client app uses key-based authentication. To use
Microsoft Entra ID authentication, you can use a **TokenCredential** instead
of an **AzureKeyCredential**.

The code example submits the image data as a binary object (which would
typically be read from an image file). You can also analyze an image based on
a URL.

Available visual features are contained in the `VisualFeatures` enumeration:

  * VisualFeatures.Tags: Identifies tags about the image, including objects, scenery, setting, and actions
  * VisualFeatures.Objects: Returns the bounding box for each detected object
  * VisualFeatures.Caption: Generates a caption of the image in natural language
  * VisualFeatures.DenseCaptions: Generates more detailed captions for the objects detected
  * VisualFeatures.People: Returns the bounding box for detected people
  * VisualFeatures.SmartCrops: Returns the bounding box of the specified aspect ratio for the area of interest
  * VisualFeatures.Read: Extracts readable text

Specifying the visual features you want analyzed in the image determines what
information the response will contain. Most responses will contain a bounding
box (if a location in the image is reasonable) or a confidence score (for
features such as tags or captions).

## Processing the response

This method returns a JSON document containing the requested information. The
JSON response for image analysis looks similar to this example, depending on
your requested features:

JSON Copy

    
    
    {
      ""apim-request-id"": ""abcde-1234-5678-9012-f1g2h3i4j5k6"",
      ""modelVersion"": ""<version>"",
      ""denseCaptionsResult"": {
        ""values"": [
          {
            ""text"": ""a house in the woods"",
            ""confidence"": 0.7055229544639587,
            ""boundingBox"": {
              ""x"": 0,
              ""y"": 0,
              ""w"": 640,
              ""h"": 640
            }
          },
          {
            ""text"": ""a trailer with a door and windows"",
            ""confidence"": 0.6675070524215698,
            ""boundingBox"": {
              ""x"": 214,
              ""y"": 434,
              ""w"": 154,
              ""h"": 108
            }
          }
        ]
      },
      ""metadata"": {
        ""width"": 640,
        ""height"": 640
      }
    }
    

* * *"
135,Develop computer vision solutions in Azure - Training,Analyze images,Exercise - Analyze images,Couldn't extract content for url: https://learn.microsoft.com/en-us/training/modules/analyze-images/5-exercise-computer-vision
136,Develop computer vision solutions in Azure - Training,Analyze images,Module assessment,"# Module assessment

Completed 200 XP

  * 2 minutes

## Check your knowledge

1.

What is the purpose of Azure AI Vision Image Analysis?

To provide reporting and auditing of virtual machine templates in your Azure
subscriptions

To extract information about visual features in images

To support video conferencing and web-cam communication

2.

You want to use Azure AI Vision Image Analysis to generate suggested text
descriptions for an image. Which visual feature should you specify?

Tags

DenseCaptions

Read

Submit answers

You must answer all questions before checking your work.

You must answer all questions before checking your work.

* * *"
137,Develop computer vision solutions in Azure - Training,Analyze images,Summary,Couldn't extract content for url: https://learn.microsoft.com/en-us/training/modules/analyze-images/7-summary
138,Develop computer vision solutions in Azure - Training,Read text in images,Introduction,"# Introduction

Completed 100 XP

  * 2 minutes

We live in a digital world, in which data is increasingly captured as images.
Often, those images contain text, which you need to be able to extract from
their pixelated format in the image for processing, indexing, and other tasks.
Everyday examples include:

  * Meeting a new business associate and taking a photograph of their business card to store their contact details digitally.
  * Scanning a document or ID card to include in an application for a government or commercial service.
  * Taking a photo of a menu or recipe to store it in a digital notebook.
  * Photographing street signs or store fronts so you can submit the text they contain to a translation app.
  * Digitizing handwritten notes using a cellphone camera.

![Diagram of an image containing text being read by the Azure AI Vision image
analysis service.](../../wwl-data-ai/read-text-images-documents-with-computer-
vision-service/media/optical-character-recognition.png)

In this module, we'll explore the _optical character recognition_ (OCR)
capabilities of the Azure AI Vision _Image Analysis_ API, which makes these
scenarios, and more, possible.

* * *"
139,Develop computer vision solutions in Azure - Training,Read text in images,Explore Azure AI options for reading text,"# Explore Azure AI options for reading text

Completed 100 XP

  * 3 minutes

There are multiple Azure AI services that read text from documents and images,
each optimized for results depending on the input and the specific
requirements of your application.

## Azure AI Vision

![Azure AI Vision icon](../../wwl-data-ai/read-text-images-documents-with-
computer-vision-service/media/ai-vision.png)

Azure AI Vision includes an _image analysis_ capability that supports _optical
character recognition_ (OCR). Consider using Azure AI Vision in the following
scenarios:

  * **Text location and extraction from scanned documents** : Azure AI Vision is a great solution for general, unstructured documents that have been scanned as images. For example, reading text in labels, menus, or business cards.
  * **Finding and reading text in photographs** : Examples include photo's that include street signs and store names.
  * **Digital asset management (DAM)** : Azure AI Vision includes functionality for analyzing images beyond extracting text; including object detection, describing or categorizing an image, generating smart-cropped thumbnails and more. These capabilities make it a useful service when you need to catalog, index, or analyze large volumes of digital image-based content.

## Azure AI Document Intelligence

![Azure AI Document Intelligence icon](../../wwl-data-ai/read-text-images-
documents-with-computer-vision-service/media/document-intelligence.png)

Azure AI Document Intelligence is a service that you can use to extract
information from complex digital documents. Azure AI Document Intelligence is
designed for extracting text, key-value pairs, tables, and structures from
documents automatically and accurately. Key considerations for choosing Azure
AI Document Intelligence include:

  * **Form processing** : Azure AI Document Intelligence is specifically designed to extract data from forms, invoices, receipts, and other structured documents.
  * **Prebuilt models** : Azure AI Document Intelligence provides prebuilt models for common document types to reduce complexity and integrate into workflows or applications.
  * **Custom models** : Creating custom models tailored to your specific documents, makes Azure AI Document Intelligence a flexible solution that can be used in many business scenarios.

## Azure AI Content Understanding

![Azure AI Content Understanding icon](../../wwl-data-ai/read-text-images-
documents-with-computer-vision-service/media/content-understanding.png)

Azure AI Content Understanding is a service that you can use to analyze and
extract information from multiple kinds of content; including documents,
images, audio streams, and video. It is suitable for:

  * **Multimodal content extraction** : Extracting content and structured fields from documents, forms, audio, video, and images.
  * **Custom content analysis scenarios** : Support for customizable analyzers enables you to extract specific content or fields tailored to business needs.

Note

In the rest of this module, we'll focus on the OCR image analysis feature in
**Azure AI Vision**. To learn more about Azure AI Document Intelligence and
Azure AI Content understanding, consider completing the following training
modules:

  * [Plan an Azure AI Document Intelligence solution](/en-us/training/modules/plan-form-recognizer-solution/)
  * [Analyze content with Azure AI Content Understanding](/en-us/training/modules/analyze-content-ai/)

* * *"
140,Develop computer vision solutions in Azure - Training,Read text in images,Read text with Azure AI Vision Image Analysis,"# Read text with Azure AI Vision Image Analysis

Completed 100 XP

  * 6 minutes

Choose your development language

C# Python

To use Azure AI Vision for image analysis, including optical character
recognition, you must provision an Azure AI Vision resource in an Azure
subscription. The resource can be:

  * An **Azure AI Services** multi-service resource (either deployed as part of an Azure AI Foundry hub and project, or as a standalone resource).
  * A **Computer Vision** resource.

To use your deployed resource in an application, you must connect to its
_endpoint_ using either key-based authentication or Microsoft Entra ID
authentication. You can find the endpoint for your resource in the Azure
portal, or if you're working in an Azure AI Foundry project, in the Azure AI
Foundry portal. The endpoint is in the form of a URL, and typically looks
something like this:

Copy

    
    
    https://<resource_name>.cognitiveservices.azure.com/
    

After establishing a connection, you can use the OCR feature by calling the
**ImageAnalysis** function (via the REST API or with an equivalent SDK
method), passing the image URL or binary data, and optionally specifying the
language the text is written in (with a default value of **en** for English).

rest Copy

    
    
    https://<endpoint>/computervision/imageanalysis:analyze?features=read&...
    

To use the Azure AI Vision Python SDK to extract text from an image, install
the **azure-ai-vision-imageanalysis** package. Then, in your code, use either
key-based authentication or Microsoft Entra ID authentication to connect an
**ImageAnalysisClient** object to an Azure AI Vision resource. To find and
read text in an image, call the **analyze** (or **analyze_from_url** ) method,
specifying the **VisualFeatures.READ** enumeration.

Python Copy

    
    
    from azure.ai.vision.imageanalysis import ImageAnalysisClient
    from azure.ai.vision.imageanalysis.models import VisualFeatures
    from azure.core.credentials import AzureKeyCredential
    
    client = ImageAnalysisClient(
        endpoint=""<YOUR_RESOURCE_ENDPOINT>"",
        credential=AzureKeyCredential(""<YOUR_AUTHORIZATION_KEY>"")
    )
    
    result = client.analyze(
        image_data=<IMAGE_DATA_BYTES>, # Binary data from your image file
        visual_features=[VisualFeatures.READ],
        language=""en"",
    )
    

To use the Azure AI Vision .NET SDK to extract text from an image, install the
**Azure.AI.Vision.ImageAnalysis** package. Then, in your code, use either key-
based authentication or Microsoft Entra ID authentication to connect an
**ImageAnalysisClient** object to an Azure AI Vision resource. To find and
read text in an image, call the **Analyze** method, specifying the
**VisualFeatures.Read** enumeration.

C# Copy

    
    
    using Azure.AI.Vision.ImageAnalysis;
    
    ImageAnalysisClient client = new ImageAnalysisClient(
        ""<YOUR_RESOURCE_ENDPOINT>"",
        new AzureKeyCredential(""<YOUR_AUTHORIZATION_KEY>""));
    
    ImageAnalysisResult result = client.Analyze(
        <IMAGE_DATA_BYTES>, // Binary data from your image file
        VisualFeatures.Read,
        new ImageAnalysisOptions { Language = t""en"" });
    

The results of the Read OCR function are returned synchronously, either as
JSON or the language-specific object of a similar structure. These results are
broken down in _blocks_ (with the current service only using one block), then
_lines_ , and then _words_. Additionally, the text values are included at both
the _line_ and _word_ levels, making it easier to read entire lines of text if
you don't need to extract text at the individual _word_ level.

JSON Copy

    
    
    {
        ""metadata"":
        {
            ""width"": 500,
            ""height"": 430
        },
        ""readResult"":
        {
            ""blocks"":
            [
                {
                    ""lines"":
                    [
                        {
                            ""text"": ""Hello World!"",
                            ""boundingPolygon"":
                            [
                                {""x"":251,""y"":265},
                                {""x"":673,""y"":260},
                                {""x"":674,""y"":308},
                                {""x"":252,""y"":318}
                            ],
                            ""words"":
                            [
                                {
                                    ""text"":""Hello"",
                                    ""boundingPolygon"":
                                    [
                                        {""x"":252,""y"":267},
                                        {""x"":307,""y"":265},
                                        {""x"":307,""y"":318},
                                        {""x"":253,""y"":318}
                                    ],
                                ""confidence"":0.996
                                },
                                {
                                    ""text"":""World!"",
                                    ""boundingPolygon"":
                                    [
                                        {""x"":318,""y"":264},
                                        {""x"":386,""y"":263},
                                        {""x"":387,""y"":316},
                                        {""x"":319,""y"":318}
                                    ],
                                    ""confidence"":0.99
                                }
                            ]
                        },
                    ]
                }
            ]
        }
    }
    

* * *"
141,Develop computer vision solutions in Azure - Training,Read text in images,Exercise - Read text in images,"# Exercise - Read text in images

Completed 100 XP

  * 30 minutes

Now it's your turn to try using the OCR capabilities of Azure AI Vision.

In this exercise, you use the Azure AI Vision Image Analysis SDK to develop a
client application that extracts text from images.

Note

To complete this lab, you need an **[Azure
subscription](https://azure.microsoft.com/free)** in which you have
administrative access.

Launch the exercise and follow the instructions.

[![Button to launch exercise.](../../wwl-data-ai/read-text-images-documents-
with-computer-vision-service/media/launch-
exercise.png)](https://go.microsoft.com/fwlink/?linkid=2320100)

Tip

After completing the exercise, if you've finished exploring Azure AI services,
delete the Azure resources that you created during the exercise.

* * *"
142,Develop computer vision solutions in Azure - Training,Read text in images,Module assessment,"# Module assessment

Completed 200 XP

  * 3 minutes

1.

Which service should you use to locate and read text in signs within a
photograph of a street?

Azure AI Language Named Entity Recognition

Azure AI Document Intelligence

Azure AI Vision Image Analysis

2.

Which visual feature enumeration should you use to return OCR results from an
image analysis call?

VisualFeatures.Caption

VisualFeatures.Read

VisualFeatures.Tags

3.

Text location information in an image is returned at which levels by Azure AI
Vision Image Analysis?

The location of individual _words_ only.

A single _block_ containing all of the text in the image.

A _block_ containing the location of _lines_ of text as well as individual
_words_.

Submit answers

You must answer all questions before checking your work.

You must answer all questions before checking your work.

* * *"
143,Develop computer vision solutions in Azure - Training,Read text in images,Summary,Couldn't extract content for url: https://learn.microsoft.com/en-us/training/modules/read-text-images-documents-with-computer-vision-service/7-summary
144,Develop computer vision solutions in Azure - Training,"Detect, analyze, and recognize faces",Introduction,"# Introduction

Completed 100 XP

  * 1 minute

Face detection, analysis, and recognition are all common computer vision
challenges for AI systems. The ability to detect when a person is present,
analyze a person's facial features, or recognize an individual based on their
face is a key way in which AI systems can exhibit human-like behavior and
build empathy with users.

In this module, you'll explore how the Azure AI Vision _Face API_ enables you
to build solutions that analyze faces in images.

![Diagram of faces being detected from an image by the Azure AI Vision Face
API.](../../wwl-data-ai/detect-analyze-recognize-faces/media/face-api.png)

Note

Access to the full capabilities of the Face API is restricted in accordance
with Microsoft's responsible AI policies. For details, see **[Limited Access
to Face API](/en-us/legal/cognitive-services/computer-vision/limited-access-
identity)**. This module describes some capabilities that require explicit
access. The practical exercise in the module is based on unrestricted features
of the service.

* * *"
145,Develop computer vision solutions in Azure - Training,"Detect, analyze, and recognize faces","Plan a face detection, analysis, or recognition solution","# Plan a face detection, analysis, or recognition solution

Completed 100 XP

  * 5 minutes

The **Face** service provides comprehensive facial detection, analysis, and
recognition capabilities.

![Diagram of Face service capabilities.](../../wwl-data-ai/detect-analyze-
recognize-faces/media/face-service.png)

The Face service provides functionality that you can use for:

  1. _Face detection_ \- for each detected face, the results include an ID that identifies the face and the bounding box coordinates indicating its location in the image.
  2. _Face attribute analysis_ \- you can return a wide range of facial attributes, including: 
    * Head pose ( _pitch_ , _roll_ , and _yaw_ orientation in 3D space)
    * Glasses ( _No glasses_ , _Reading glasses_ , _Sunglasses_ , or _Swimming Goggles_ )
    * Mask (the presence of a face mask)
    * Blur ( _low_ , _medium_ , or _high_ )
    * Exposure ( _under exposure_ , _good exposure_ , or _over exposure_ )
    * Noise (visual noise in the image)
    * Occlusion (objects obscuring the face)
    * Accessories (glasses, headwear, mask)
    * QualityForRecognition ( _low_ , _medium_ , or _high_ )
  3. _Facial landmark location_ \- coordinates for key landmarks in relation to facial features (for example, eye corners, pupils, tip of nose, and so on)
  4. _Face comparison_ \- you can compare faces across multiple images for similarity (to find individuals with similar facial features) and verification (to determine that a face in one image is the same person as a face in another image)
  5. _Facial recognition_ \- you can train a model with a collection of faces belonging to specific individuals, and use the model to identify those people in new images.
  6. _Facial liveness_ \- liveness can be used to determine if the input video is a real stream or a fake to prevent bad-intentioned individuals from spoofing a facial recognition system.

## Face detection and recognition models

The Azure AI Vision Face API is built on face detection and recognition models
that have been pre-trained. Multiple versions of these models are available,
each with specific strengths and capabilities. For example, newer models
exhibit greater accuracy when working with small images; but may not provide
the same breadth of facial analysis capabilities. When you use the service in
an application, you must select the model you want to use based on your
requirements.

Tip

For guidance about selecting a _detection_ model, see **[Specify a face
detection model](/en-us/azure/ai-services/computer-vision/how-to/specify-
detection-model)**. For guidance about how to select a _recognition_ model,
see **[Specify a face recognition model](/en-us/azure/ai-services/computer-
vision/how-to/specify-recognition-model)**.

* * *"
